________________________________________________________________________________________________________
Check time: 2019-04-03 14:03:16
________________________________________________________________________________________________________
Service:Wi-Fi Direct Services Connection Manager Service| Status: Paused
Service:Still Image Acquisition Events| Status: Paused
Service:Windows Defender Antivirus Service| Status: Paused
Service:WinHTTP Web Proxy Auto-Discovery Service| Status: Running
Service:Windows Management Instrumentation| Status: Running
Service:Windows Remote Management (WS-Management)| Status: Paused
Service:Wireless Keyboard 850 Notification Service| Status: Running
Service:Windows Insider Service| Status: Paused
Service:WLAN AutoConfig| Status: Running
Service:Microsoft Account Sign-in Assistant| Status: Running
Service:Local Profile Assistant Service| Status: Paused
Service:WMI Performance Adapter| Status: Paused
Service:Windows Media Player Network Sharing Service| Status: Running
Service:Work Folders| Status: Paused
Service:Parental Controls| Status: Paused
Service:Portable Device Enumerator Service| Status: Paused
Service:Windows Push Notifications System Service| Status: Running
Service:Security Center| Status: Running
Service:Windows Search| Status: Running
Service:Windows Update| Status: Paused
Service:WWAN AutoConfig| Status: Paused
Service:Xbox Game Monitoring| Status: Paused
Service:Xbox Live Auth Manager| Status: Paused
Service:Xbox Live Game Save| Status: Paused
Service:Xbox Accessory Management Service| Status: Paused
Service:Xbox Live Networking Service| Status: Paused
Service:Intel(R) PROSet/Wireless Zero Configuration Service| Status: Running
Service:BcastDVRUserService_2c24c| Status: Paused
Service:BluetoothUserService_2c24c| Status: Paused
Service:CDPUserSvc_2c24c| Status: Running
Service:DevicePickerUserSvc_2c24c| Status: Paused
Service:DevicesFlowUserSvc_2c24c| Status: Paused
Service:MessagingService_2c24c| Status: Paused
Service:OneSyncSvc_2c24c| Status: Running
Service:PimIndexMaintenanceSvc_2c24c| Status: Running
Service:PrintWorkflowUserSvc_2c24c| Status: Paused
Service:UnistoreSvc_2c24c| Status: Running
Service:UserDataSvc_2c24c| Status: Running
Service:WpnUserService_2c24c| Status: Running
